name,gflops,status,seconds,timestamp
contraction_abc_bda_dc,577.2954,ok,146.0,2026-07-09 13:33:35
contraction_abc_dca_bd,367.8084,ok,148.9,2026-07-09 13:36:04
contraction_abcd_dbea_ec,284.2297,ok,203.8,2026-07-09 13:39:28
contraction_abcd_deca_be,332.8545,ok,173.1,2026-07-09 13:42:21
contraction_abcd_ebad_ce,529.2337,ok,161.1,2026-07-09 13:45:02
contraction_abcde_efbad_cf,249.9537,ok,281.2,2026-07-09 13:49:43
contraction_abcde_ecbfa_fd,336.5073,ok,284.1,2026-07-09 13:54:27
contraction_abcde_efcad_bf,291.5370,ok,232.3,2026-07-09 13:58:20
contraction_abcd_ea_ebcd,636.2306,ok,266.3,2026-07-09 14:02:46
contraction_abcd_eb_aecd,426.7802,ok,223.4,2026-07-09 14:06:29
contraction_abcd_ec_abed,652.6449,ok,204.6,2026-07-09 14:09:54
contraction_abc_adec_ebd,795.6169,ok,222.5,2026-07-09 14:48:43
contraction_abcdef_dega_gfbc,322.8480,ok,243.7,2026-07-09 15:47:57
contraction_abcdef_degb_gfac,486.4529,ok,178.9,2026-07-09 15:50:56
contraction_abcdef_degc_gfab,385.4358,ok,168.4,2026-07-09 15:53:45
contraction_abcdef_dfga_gebc,399.7462,ok,186.1,2026-07-09 15:56:51
contraction_abcdef_dfgb_geac,370.4761,ok,178.1,2026-07-09 15:59:49
contraction_abcdef_dfgc_geab,363.7639,ok,180.7,2026-07-09 16:02:49
contraction_abcdef_efga_gdbc,312.8055,ok,189.5,2026-07-09 16:05:59
contraction_abcdef_efgb_gdac,376.0278,ok,168.5,2026-07-09 16:08:47
contraction_abcdef_efgc_gdab,291.0461,ok,180.4,2026-07-09 16:11:48
contraction_abcdef_gdab_efgc,410.1890,ok,179.9,2026-07-09 16:14:48
contraction_abcdef_gdac_efgb,486.5208,ok,184.4,2026-07-09 16:17:52
contraction_abcdef_gdbc_efga,389.7161,ok,181.1,2026-07-09 16:20:53
contraction_abcdef_geab_dfgc,376.1222,ok,169.9,2026-07-09 16:23:43
contraction_abcdef_geac_dfgb,400.0739,ok,175.2,2026-07-09 16:26:38
contraction_abcdef_gebc_dfga,346.7539,ok,197.4,2026-07-09 16:29:56
contraction_abcdef_gfab_degc,414.3209,ok,166.7,2026-07-09 16:32:42
contraction_abcdef_gfac_degb,280.8693,ok,180.5,2026-07-09 16:35:43
contraction_abcdef_gfbc_dega,403.0272,ok,172.7,2026-07-09 16:38:36
contraction_ab_ac_cb,653.1663,ok,4344.2,2026-07-31 19:38:15
contraction_ab_acd_dbc,386.0510,ok,512.9,2026-07-31 19:46:47
contraction_ab_cad_dcb,851.8286,ok,541.8,2026-07-31 19:55:49
contraction_abc_acd_db,800.1448,ok,462.9,2026-07-31 20:03:32
contraction_abc_ad_bdc,951.5387,ok,403.8,2026-07-31 20:10:16
contraction_abc_adc_bd,1076.2248,ok,387.5,2026-07-31 20:16:43
contraction_abc_adc_db,845.3779,ok,357.0,2026-07-31 20:22:40
contraction_abcd_aebf_dfce,596.7738,ok,4459.3,2026-07-31 21:37:00
contraction_abcd_aebf_fdec,350.4645,ok,5287.2,2026-07-31 23:05:07
contraction_abcd_aecf_bfde,628.0007,ok,5086.5,2026-08-01 00:29:53
contraction_abcd_aecf_fbed,440.3146,ok,4816.3,2026-08-01 01:50:10
contraction_abcd_aedf_bfce,442.4336,ok,5120.5,2026-08-01 03:15:30
contraction_abcd_aedf_fbec,903.0521,ok,4914.5,2026-08-01 04:37:25
contraction_abcd_aefb_fdce,476.8216,ok,5466.0,2026-08-01 06:08:31
contraction_abcd_aefc_fbed,622.7430,ok,4540.5,2026-08-01 07:24:11
contraction_abcd_eafb_fdec,323.2036,ok,5832.0,2026-08-01 09:01:23
contraction_abcd_eafc_bfde,362.1339,ok,5814.5,2026-08-01 10:38:18
contraction_abcd_eafd_fbec,933.4655,ok,5331.3,2026-08-01 12:07:09
